90min,90min.com,,,,,,,,,
Ars Technica,arstechnica.com,,,,,,,,,
Billboard,billboard.com,,,,,,,,,
Bleacher Report,bleacherreport.com,m.bleacherreport.com,,,,,,,,
Blogger,blogger.com,,,,,,,,,
BroBible,brobible.com,,,,,,,,,
Business Insider,businessinsider.com,businessinsider.in,businessinsider.de,businessinsider.co.za,businessinsider.com.au,businessinsider.com.pl,businessinsider.mx,businessinsider.fr,businessinsider.jp,businessinsider.nl
CNET,cnet.com,,,,,,,,,
CoinDesk,coindesk.com,,,,,,,,,
Cointelegraph,cointelegraph.com,,,,,,,,,
Cosmopolitan,cosmopolitan.com,cosmopolitan.fr,cosmopolitan.de,,,,,,,
Digital Spy,digitalspy.com,,,,,,,,,
E! News,eonline.com,uk.eonline.com,,,,,,,,
Elle,elle.com,elle.fr,,,,,,,,
Engadget,engadget.com,,,,,,,,,
Entertainment Tonight,etonline.com,,,,,,,,,
Entrepreneur,entrepreneur.com,,,,,,,,,
Esquire,esquire.com,esquire.co.uk,,,,,,,,
EssentiallySports,essentiallysports.com,,,,,,,,,
FanSided,fansided.com,,,,,,,,,
Far Out Magazine,faroutmagazine.co.uk,,,,,,,,,
Fast Company,fastcompany.com,,,,,,,,,
Gizmodo,gizmodo.com,gizmodo.jp,gizmodo.de,,,,,,,
GQ,gq.com,gq.co.uk,,,,,,,,
Harper's BAZAAR,harpersbazaar.com,harpersbazaar.co.uk,,,,,,,,
Harvard Business Review,hbr.org,hbrascend.org,,,,,,,,
HipHopDX,hiphopdx.com,,,,,,,,,
Hollywood Life,hollywoodlife.com,,,,,,,,,
HotNewHipHop,hotnewhiphop.com,,,,,,,,,
Huff Post,huffpost.com,huffingtonpost.com,,,,,,,,
Lifehacker,lifehacker.com,lifehacker.jp,lifehacker.co.uk,,,,,,,
Louder,loudersound.com,,,,,,,,,
Loudwire,loudwire.com,,,,,,,,,
MarketWatch,marketwatch.com,,,,,,,,,
Mashable,mashable.com,in.mashable.com,,,,,,,,
Medium,medium.com,,,,,,,,,
Men's Health,menshealth.com,menshealth.co.uk,,,,,,,,
NME,nme.com,,,,,,,,,
Page Six,pagesix.com,,,,,,,,,
People,people.com,peopleenespanol.com,,,,,,,,
Pitchfork,pitchfork.com,,,,,,,,,
RollingStone,rollingstone.com,rollingstone.de,,,,,,,,
Seeking Alpha,seekingalpha.com,,,,,,,,,
Sky Sports,skysports.com,skysports.co.uk,,,,,,,,
Small Business Trends,smallbiztrends.com,,,,,,,,,
Sporting News,sportingnews.com,sportingnews.com.au,,,,,,,,
talkSPORT,talksport.com,,,,,,,,,
TechCrunch,techcrunch.com,,,,,,,,,
The Athletic,theathletic.com,,,,,,,,,
The Verge,theverge.com,,,,,,,,,
theScore.com,thescore.com,,,,,,,,,
TMZ,tmz.com,tmz.de,,,,,,,,
Tumblr,tumblr.com,,,,,,,,,
Typepad,typepad.com,,,,,,,,,
Vouge,vogue.com,vogue.co.uk,vogue.fr,vogue.it,,,,,,
Wired,wired.com,wired.co.uk,wired.jp,,,,,,,
WordPress,wordpress.com,,,,,,,,,
Yahoo! Sports,sports.yahoo.com,,,,,,,,,
