Discord,discord.gg,discord.media,discordapp.com,discordapp.net,,,,,,,
Instagram,instagram.com,,,,,,,,,,
LINE,line.me,,,,,,,,,,
Messenger,m.me,messenger.com,msngr.com,,,,,,,,
Skype,skype.com,,,,,,,,,,
Slack,edgeapi.slack.com,wss-backup.slack.com,wss-mobile.slack.com,wss-primary.slack.com,slack-core.com,slack-edge.com,slack-files.com,slack-imgs.com,slack-msgs.com,slack-redir.net,slack.com
Snapchat,snapchat.com,,,,,,,,,,
Telegram,t.me,telegram.org,telesco.pe,,,,,,,,
Viber,viber.com,,,,,,,,,,
WeChat,wechat.com,,,,,,,,,,
WhatsApp,whatsapp.com,whatsapp.net,,,,,,,,,
