ABC News,abcnews.go.com,,,,,,,,,,
Ars Technica,arstechnica.com,,,,,,,,,,
BBC,bbc.com,bbc.co.uk,,,,,,,,,
Bloomberg,bloomberg.com,,,,,,,,,,
Breitbart,breitbart.com,,,,,,,,,,
Business Insider,businessinsider.co.za,businessinsider.com,businessinsider.com.au,businessinsider.com.pl,businessinsider.de,businessinsider.es,businessinsider.fr,businessinsider.in,businessinsider.jp,businessinsider.mx,businessinsider.nl
BuzzFeed,buzzfeed.com,,,,,,,,,,
CBS Local,cbslocal.com,,,,,,,,,,
CBS News,cbsnews.com,,,,,,,,,,
CNBC,cnbc.com,,,,,,,,,,
CNN,cnn.com,,,,,,,,,,
Daily Mail,dailymail.co.uk,,,,,,,,,,
Der Spiegel,spiegel.de,,,,,,,,,,
Feedly,feedly.com,,,,,,,,,,
FiveThirtyEight,fivethirtyeight.com,,,,,,,,,,
Forbes,forbes.com,,,,,,,,,,
Fox News,foxnews.com,,,,,,,,,,
Google News,news.google.com,,,,,,,,,,
Huff Post,huffingtonpost.com,huffpost.com,,,,,,,,,
LA Times,latimes.com,,,,,,,,,,
MacRumors,macrumors.com,,,,,,,,,,
MSN,msn.com,,,,,,,,,,
MSNBC,msnbc.com,,,,,,,,,,
NBC News,nbcnews.com,,,,,,,,,,
New York Magazine,nymag.com,,,,,,,,,,
New York Post,nypost.com,,,,,,,,,,
NPR,npr.org,,,,,,,,,,
NY Daily News,nydailynews.com,,,,,,,,,,
People,people.com,,,,,,,,,,
Politico,politico.com,,,,,,,,,,
Reuters,reuters.com,,,,,,,,,,
Salon,salon.com,,,,,,,,,,
Slate,slate.com,,,,,,,,,,
The Atlantic,theatlantic.com,,,,,,,,,,
The Guardian,theguardian.com,,,,,,,,,,
The Independent,independent.co.uk,,,,,,,,,,
The New York Times,nytimes.com,,,,,,,,,,
The New Yorker,newyorker.com,,,,,,,,,,
The Telegraph,telegraph.co.uk,,,,,,,,,,
The Verge,theverge.com,,,,,,,,,,
The Wall Street Journal,wsj.com,wsj.net,,,,,,,,,
The Washington Post,washingtonpost.com,,,,,,,,,,
USA Today,usatoday.com,,,,,,,,,,
Vice,vice.com,,,,,,,,,,
Wired,wired.com,,,,,,,,,,
